Product Name,Recommended Product Name,SKU,Parent Category,Subcategory 1,Subcategory 2,Subcategory 3,Attribute - Program 1,Attribute - Program 2,Attribute - Program 3,Product Type,Variation - Format,Variation - Language,Variation - Level,Variation - Size,Price,External Link to Third-Party Platform for Product Details/Purchase,NEW Short Descriptions,Long Description,Review 1,Review 2,Feature & Benefit 1 Title,Feature & Benefit 1 Blurb ,Feature Icon 1,Feature & Benefit 2 Title,Feature & Benefit 2 Blurb ,Feature Icon 2,Feature & Benefit 3 Title,Feature & Benefit 3 Blurb ,Feature Icon 3,Feature & Benefit 4 Title,Feature & Benefit 4 Blurb ,Feature Icon 4,Feature & Benefit 5 Title,Feature & Benefit 5 Blurb ,Feature Icon 5,Item Height,Item Length,Item Width,Item Weight,Dropbox Link to Product Image,variation description
Virtual Coaching Session with Danny,Virtual Training Session with Danny,30ddvirtual,Training Program,,,,,,,,,,30 Minute Virtual Coaching Session,,75.00,https://app.acuityscheduling.com/schedule.php?owner=17364434,"30 Minute Virtual Coaching Session <br>
<strong>Private and virtual training sessions with Danny are scheduled through Acuity Scheduling. Click the Schedule button to schedule your session.</strong>","Working with Danny is one of the best ways to master your technique! Whether you are following up from an in-person private session, Workshop or want some personal feedback from Danny, he's available to meet with you where ever you are virtually.
How it works: Danny asks you send a video recording of yourself running (you'll receive directions on how to do so). Before your session, he'll review your form so he can provide feedback during your Lesson. You'll have the opportunity to ask any questions you may have and make the session unique to your needs!",,,,,,,,,,,,,,,,,,0,0,0,0,https://www.dropbox.com/s/biutkqi7wx9ov4f/virtual-meeting-with-danny-image-768x613.jpg?dl=1,
Virtual Coaching Session with Danny,Virtual Training Session with Danny,60ddvirtual,Training Program,,,,,,,,,,1 Hour Virtual Coaching Session,,140.00,https://app.acuityscheduling.com/schedule.php?owner=17364434,"1 Hour Virtual Coaching Session <br>
<strong>Private and virtual training sessions with Danny are scheduled through Acuity Scheduling. Click the Schedule button to schedule your session.</strong>","Working with Danny is one of the best ways to master your technique! Whether you are following up from an in-person private session, Workshop or want some personal feedback from Danny, he's available to meet with you where ever you are virtually.
How it works: Danny asks you send a video recording of yourself running (you'll receive directions on how to do so). Before your session, he'll review your form so he can provide feedback during your Lesson. You'll have the opportunity to ask any questions you may have and make the session unique to your needs!",,,,,,,,,,,,,,,,,,0,0,0,0,https://www.dropbox.com/s/biutkqi7wx9ov4f/virtual-meeting-with-danny-image-768x613.jpg?dl=1,
Virtual Coaching Session with Danny,Virtual Training Session with Danny,ddvirtualpack,Training Program,,,,,,,,,,3 30-Minute Virtual Coaching Sessions,,195.00,https://app.acuityscheduling.com/schedule.php?owner=17364434,"3 30-Minute Virtual Coaching Sessions <br>
<strong>Private and virtual training sessions with Danny are scheduled through Acuity Scheduling. Click the Schedule button to schedule your session.</strong>","Working with Danny is one of the best ways to master your technique! Whether you are following up from an in-person private session, Workshop or want some personal feedback from Danny, he's available to meet with you where ever you are virtually.
How it works: Danny asks you send a video recording of yourself running (you'll receive directions on how to do so). Before your session, he'll review your form so he can provide feedback during your Lesson. You'll have the opportunity to ask any questions you may have and make the session unique to your needs!",,,,,,,,,,,,,,,,,,0,0,0,0,https://www.dropbox.com/s/biutkqi7wx9ov4f/virtual-meeting-with-danny-image-768x613.jpg?dl=1,
Private Coaching Session with Danny,Private Training Session with Danny,60ddavl,Training Program,,,,,,,,,,"1 Hour in Asheville, NC",,195.00,https://app.acuityscheduling.com/schedule.php?owner=17364434,"1 Hour in Asheville, NC <br>
<strong>Private and virtual training sessions with Danny are scheduled through Acuity Scheduling. Click the Schedule button to schedule your session.</strong>","Taking a personal training session with Danny is a once-in-a-lifetime experience. His 40+ years of running experience combined with his supportive teaching style will transform your fitness and your life! Danny teaches walkers, walk-runners, and runners of all levels.
Danny teaches in Asheville all year round and also teaches Private Sessions in cities or locations where he is leading his Workshops.|",,,,,,,,,,,,,,,,,,0,0,0,0,https://www.dropbox.com/s/3rxxqc8f75mju02/DD-golfcourse-copy-2-2-copy-768x824.jpg?dl=1,
Private Coaching Session with Danny,Private Training Session with Danny,120ddavl,Training Program,,,,,,,,,,"2 Hours in Asheville, NC",,350.00,https://app.acuityscheduling.com/schedule.php?owner=17364434,"2 Hours in Asheville, NC <br>
<strong>Private and virtual training sessions with Danny are scheduled through Acuity Scheduling. Click the Schedule button to schedule your session.</strong>","Taking a personal training session with Danny is a once-in-a-lifetime experience. His 40+ years of running experience combined with his supportive teaching style will transform your fitness and your life! Danny teaches walkers, walk-runners, and runners of all levels.
Danny teaches in Asheville all year round and also teaches Private Sessions in cities or locations where he is leading his Workshops.|",,,,,,,,,,,,,,,,,,0,0,0,0,https://www.dropbox.com/s/3rxxqc8f75mju02/DD-golfcourse-copy-2-2-copy-768x824.jpg?dl=1,
Private Coaching Session with Danny,Private Training Session with Danny,60ddaway,Training Program,,,,,,,,,,"1 Hour Outside Asheville, NC",,295.00,https://app.acuityscheduling.com/schedule.php?owner=17364434,"1 Hour Outside Asheville, NC <br>
<strong>Private and virtual training sessions with Danny are scheduled through Acuity Scheduling. Click the Schedule button to schedule your session.</strong>","Taking a personal training session with Danny is a once-in-a-lifetime experience. His 40+ years of running experience combined with his supportive teaching style will transform your fitness and your life! Danny teaches walkers, walk-runners, and runners of all levels.
Danny teaches in Asheville all year round and also teaches Private Sessions in cities or locations where he is leading his Workshops.|",,,,,,,,,,,,,,,,,,0,0,0,0,https://www.dropbox.com/s/3rxxqc8f75mju02/DD-golfcourse-copy-2-2-copy-768x824.jpg?dl=1,
Private Coaching Session with Danny,Private Training Session with Danny,120ddaway,Training Program,,,,,,,,,,"2 Hours Outside Asheville, NC",,495.00,https://app.acuityscheduling.com/schedule.php?owner=17364434,"2 Hours Outside Asheville, NC <br>
<strong>Private and virtual training sessions with Danny are scheduled through Acuity Scheduling. Click the Schedule button to schedule your session.</strong>","Taking a personal training session with Danny is a once-in-a-lifetime experience. His 40+ years of running experience combined with his supportive teaching style will transform your fitness and your life! Danny teaches walkers, walk-runners, and runners of all levels.
Danny teaches in Asheville all year round and also teaches Private Sessions in cities or locations where he is leading his Workshops.|",,,,,,,,,,,,,,,,,,0,0,0,0,https://www.dropbox.com/s/3rxxqc8f75mju02/DD-golfcourse-copy-2-2-copy-768x824.jpg?dl=1,
chirunning circle cutout-,Men's ChiRunning Circle Logo Hoodie,Men's ChiRunning Circle Logo Hoodie,Apparel,Men,,,,,,,,,,,38.49,https://chirunningchiwalkingmerchandise.myspreadshop.com/chirunning+circle+cutout-A5d8aeb4d13615160bff9cb62?productType=111&sellable=2LReloYdwasAbwqDNgnA-111-22&appearance=2,"Lightweight Hooded Sweatshirt for Men, 50% cotton, 50% polyester, Brand: Hanes <br>
<strong>Item is sold and shipped through Spreadshop. Click the Shop with Spreadshop button to view color and size options and place your order.</strong>",,,,,,,,,,,,,,,,,,,,,,,https://www.dropbox.com/s/zhog62xvvjrkt1g/mens-chirunning-circle-logo-hoodie.jpg?dl=1,
chirunning circle cutout-,Men's ChiRunning Vertical Logo Tank,Men's ChiRunning Vertical Logo Tank,Apparel,Men,,,,,,,,,,,26.49,https://chirunningchiwalkingmerchandise.myspreadshop.com/chirunning+circle+cutout-A5d8aeb4d13615160bff9cb62?productType=916&sellable=2LReloYdwasAbwqDNgnA-916-15&appearance=648,"Premium quality tank top made of 100% cotton (heather gray is 95% cotton/5% viscose, charcoal gray is 80% cotton/20% polyester). <br>
<strong>Item is sold and shipped through Spreadshop. Click the Shop with Spreadshop button to view color and size options and place your order.</strong>",,,,,,,,,,,,,,,,,,,,,,,https://www.dropbox.com/s/unv61igluofdfm6/mens-chirunning-vertical-logo-tank.jpg?dl=1,
chirunning circle cutout-,Women's ChiRunning Scoop Neck T-shirt ,Women's ChiRunning Scoop Neck T-shirt ,Apparel,Women,,,,,,,,,,,28.99,https://chirunningchiwalkingmerchandise.myspreadshop.com/chirunning+circle+cutout-A5d8aeb4d13615160bff9cb6b?productType=1171&sellable=qrd047lxk8hD3qpOR8ey-1171-8&appearance=2,"Women’s Flowy T-Shirt | Brand: Bella | Fabric Content: 65% Polyester/35% Viscose (heather gray is 52% Polyester/48% Viscose) <br>
<strong>Item is sold and shipped through Spreadshop. Click the Shop with Spreadshop button to view color and size options and place your order.</strong>",,,,,,,,,,,,,,,,,,,,,,,https://www.dropbox.com/s/rhqog8svkrbc0sr/womens-chirunning-scoop-neck-t-shirt.jpg?dl=1,
