,,Copy & paste the Share link for each image file from Dropbox,,,,,
Product Name,SKU,Product Image,Feature Icon 1,Feature Icon 2,Feature Icon 3,Feature Icon 4,Feature Icon 5
ChiWalking Complete Package,ccwpack ,https://www.dropbox.com/s/q9lvg2w6vdmyrvb/chiwalking-complete-package.jpg?dl=0,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/walk-with-confidence-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-fitness-for-life-icon-white.png
ChiRunning Complete Package,ccrpackdig,https://www.dropbox.com/s/8mxe9nqzis9uow1/chirunning-complete-package.jpg?dl=0,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/run-with-confidence-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-running-for-life-icon-white.png
ChiRunning Complete Package,ccrpack ,https://www.dropbox.com/s/8mxe9nqzis9uow1/chirunning-complete-package.jpg?dl=0,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/run-with-confidence-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-running-for-life-icon-white.png
ChiMarathon Complete Package,ccmpackdig,https://www.dropbox.com/s/tgel920q0fomx9h/chimarathon-complete-package.jpg?dl=0,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/run-with-confidence-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-running-for-life-icon-white.png
ChiMarathon Complete Package,ccmpack ,https://www.dropbox.com/s/tgel920q0fomx9h/chimarathon-complete-package.jpg?dl=0,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/run-with-confidence-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-running-for-life-icon-white.png
ChiMarathon Starter Package,cmbookdvddig,https://www.dropbox.com/s/vwbsjfm93k26u7q/chimarathon-starter-package.jpg?dl=0,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/run-with-confidence-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-running-for-life-icon-white.png
ChiMarathon Starter Package,cmbookdvd ,https://www.dropbox.com/s/vwbsjfm93k26u7q/chimarathon-starter-package.jpg?dl=0,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/run-with-confidence-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-running-for-life-icon-white.png
ChiWalking DVD,cwdvddig,https://www.dropbox.com/s/y1fw1rv40hlrobg/chiwalking-dvd.jpg?dl=0,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/walk-with-confidence-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-fitness-for-life-icon-white.png
ChiWalking DVD,cwdvd ,https://www.dropbox.com/s/y1fw1rv40hlrobg/chiwalking-dvd.jpg?dl=0,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/walk-with-confidence-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-fitness-for-life-icon-white.png
Hills & Trails DVD,htdvddig,https://www.dropbox.com/s/rmuok2z0ikklhzu/hills-trails-dvd.jpg?dl=0,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/run-with-confidence-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-running-for-life-icon-white.png
